x, y, z
1, 235, 359
1, 241, 471
1, 335, 283
1, 363, 355
3, 259, 227
3, 369, 243
5, 43, 73
5, 55, 245
5, 97, 351
5, 237, 37
5, 281, 111
5, 287, 353
5, 371, 153
5, 475, 471
7, 137, 243
7, 179, 5
7, 193, 337
7, 219, 123
9, 85, 143
9, 473, 203
11, 153, 47
11, 187, 301
11, 221, 255
11, 305, 243
13, 339, 413
13, 363, 133
13, 439, 1
13, 459, 145
15, 231, 279
15, 309, 429
15, 421, 165
17, 135, 37
19, 413, 447
21, 333, 461
21, 367, 491
21, 461, 237
21, 475, 307
23, 185, 347
25, 159, 289
29, 249, 423
29, 269, 469
29, 453, 1
31, 199, 71
31, 255, 445
35, 43, 389
35, 167, 25
35, 219, 487
35, 403, 439
37, 171, 141
37, 203, 255
37, 335, 133
37, 337, 207
39, 127, 203
39, 133, 411
39, 149, 133
39, 205, 33
39, 253, 87
39, 419, 193
43, 97, 1
43, 445, 483
47, 323, 179
47, 481, 447
49, 371, 457
51, 149, 129
51, 445, 375
53, 403, 51
55, 135, 493
55, 143, 433
55, 295, 259
55, 327, 153
55, 455, 419
59, 73, 425
59, 87, 493
61, 41, 57
61, 51, 69
61, 115, 371
61, 167, 471
61, 179, 471
61, 469, 141
63, 39, 5
65, 57, 75
65, 307, 315
65, 317, 321
67, 5, 135
67, 7, 3
67, 191, 1
67, 375, 143
69, 109, 95
69, 209, 11
69, 281, 271
71, 151, 93
71, 397, 379
73, 25, 49
73, 401, 49
75, 83, 19
75, 267, 23
75, 337, 305
75, 489, 379
77, 321, 253
77, 425, 273
81, 9, 7
81, 301, 133
83, 239, 499
85, 51, 209
85, 329, 249
87, 1, 219
87, 69, 177
87, 213, 487
87, 231, 53
87, 373, 495
89, 333, 55
91, 187, 187
91, 215, 341
91, 341, 467
91, 389, 59
93, 123, 217
93, 235, 399
93, 389, 1
95, 291, 103
95, 387, 323
97, 9, 89
97, 29, 183
97, 183, 85
97, 363, 25
97, 389, 407
97, 423, 115
97, 479, 55
99, 83, 327
99, 119, 475
99, 189, 25
99, 225, 417
99, 253, 261
101, 259, 55
101, 385, 1
103, 87, 91
103, 153, 215
103, 297, 265
103, 467, 135
105, 343, 239
105, 443, 229
107, 71, 135
107, 289, 279
107, 291, 197
107, 391, 33
107, 395, 125
109, 31, 65
109, 123, 205
109, 147, 81
109, 227, 211
109, 333, 371
111, 477, 411
113, 9, 131
113, 51, 145
113, 373, 497
113, 463, 397
115, 5, 115
115, 37, 233
115, 135, 435
115, 137, 281
115, 387, 393
115, 455, 11
115, 479, 351
115, 499, 203
117, 23, 125
117, 261, 177
117, 295, 93
117, 441, 269
119, 23, 21
119, 125, 447
119, 383, 423
119, 463, 233
121, 83, 471
121, 115, 393
121, 121, 431
125, 43, 165
125, 107, 37
125, 287, 11
125, 491, 57
127, 33, 447
127, 355, 261
127, 471, 245
129, 79, 53
129, 131, 193
129, 163, 257
131, 473, 303
133, 181, 445
135, 43, 179
135, 103, 83
135, 285, 495
135, 309, 245
139, 185, 477
141, 19, 153
141, 117, 359
141, 169, 405
143, 209, 355
143, 227, 87
143, 311, 479
143, 347, 393
145, 327, 199
147, 305, 429
147, 439, 499
151, 119, 189
153, 407, 413
155, 47, 267
155, 201, 391
157, 61, 371
157, 169, 69
159, 53, 343
161, 29, 139
161, 409, 113
163, 255, 433
165, 141, 1
167, 125, 141
171, 13, 135
171, 387, 455
171, 469, 91
173, 31, 331
173, 409, 375
175, 109, 401
175, 435, 209
177, 371, 361
177, 471, 165
181, 37, 125
181, 365, 319
181, 387, 361
183, 1, 9
183, 247, 337
183, 467, 357
185, 139, 227
185, 199, 289
187, 29, 213
187, 137, 287
187, 145, 69
187, 493, 35
189, 159, 321
189, 257, 269
189, 311, 261
189, 461, 321
191, 87, 89
191, 337, 143
191, 495, 489
193, 33, 487
193, 63, 109
195, 27, 123
195, 47, 149
195, 193, 487
197, 499, 285
201, 85, 467
201, 213, 67
201, 219, 243
203, 41, 131
203, 211, 403
203, 315, 397
203, 417, 337
205, 211, 331
205, 319, 463
205, 417, 69
205, 435, 389
205, 449, 309
207, 201, 49
207, 283, 245
207, 399, 221
209, 3, 241
211, 217, 491
211, 247, 61
211, 361, 333
211, 413, 351
211, 499, 237
213, 115, 125
213, 275, 327
215, 1, 185
215, 29, 167
215, 379, 147
217, 335, 301
219, 41, 29
219, 215, 255
221, 169, 95
221, 303, 471
221, 387, 101
221, 389, 485
223, 65, 385
223, 205, 391
223, 303, 469
225, 95, 13
225, 249, 499
225, 369, 97
225, 491, 7
227, 301, 381
227, 369, 229
227, 409, 139
229, 87, 323
229, 293, 357
231, 217, 409
231, 255, 103
231, 347, 421
231, 429, 91
233, 487, 133
237, 107, 53
237, 455, 487
237, 485, 297
239, 49, 417
239, 53, 1
239, 459, 7
241, 381, 83
243, 403, 359
243, 465, 55
247, 29, 61
249, 231, 111
249, 305, 179
251, 27, 315
253, 41, 427
253, 345, 173
257, 1, 263
257, 143, 269
259, 285, 369
259, 449, 5
261, 173, 307
261, 223, 377
263, 141, 279
265, 31, 261
265, 215, 315
265, 257, 119
267, 357, 95
273, 321, 453
273, 399, 121
275, 139, 381
275, 287, 167
277, 17, 289
277, 139, 191
277, 415, 17
279, 219, 377
281, 85, 271
281, 231, 195
283, 19, 33
283, 479, 425
285, 47, 285
285, 133, 421
285, 165, 309
285, 313, 409
285, 339, 437
287, 321, 355
287, 385, 349
287, 427, 423
289, 377, 37
289, 499, 233
291, 87, 229
291, 303, 429
291, 341, 437
291, 365, 441
293, 137, 441
293, 273, 181
293, 313, 93
293, 407, 41
293, 465, 117
293, 497, 101
295, 73, 331
297, 117, 237
297, 191, 15
297, 255, 439
297, 341, 239
297, 393, 379
297, 485, 249
297, 491, 301
299, 15, 421
299, 471, 43
299, 495, 191
301, 273, 423
301, 321, 421
303, 265, 39
303, 289, 141
305, 203, 95
305, 433, 261
307, 1, 91
307, 105, 455
307, 217, 223
307, 273, 483
309, 273, 255
311, 5, 465
311, 51, 151
311, 499, 243
313, 7, 445
313, 379, 247
313, 393, 407
315, 113, 149
315, 237, 409
315, 241, 277
315, 397, 373
317, 1, 471
317, 143, 471
317, 307, 295
317, 481, 131
319, 27, 133
319, 117, 299
319, 395, 275
321, 75, 231
321, 179, 283
321, 311, 117
321, 343, 75
323, 37, 15
323, 195, 21
323, 197, 423
323, 369, 119
323, 417, 329
325, 263, 275
327, 7, 3
327, 161, 353
327, 391, 425
329, 181, 73
329, 189, 419
329, 267, 21
331, 205, 351
331, 335, 309
331, 361, 485
333, 185, 379
333, 345, 101
335, 157, 381
337, 105, 253
339, 1, 241
339, 127, 311
341, 73, 281
341, 199, 423
345, 237, 273
347, 53, 295
347, 119, 357
347, 121, 97
347, 351, 467
347, 463, 139
349, 37, 79
351, 181, 493
351, 299, 229
351, 453, 109
355, 5, 453
355, 307, 5
355, 377, 149
357, 95, 265
357, 203, 209
357, 267, 167
357, 421, 69
359, 45, 393
359, 327, 375
359, 331, 499
359, 397, 5
361, 63, 33
361, 433, 9
363, 31, 251
363, 237, 399
365, 211, 83
365, 339, 289
365, 385, 131
365, 495, 219
367, 57, 37
367, 83, 61
369, 13, 71
369, 67, 107
369, 75, 109
369, 307, 61
371, 43, 111
371, 119, 405
371, 205, 21
373, 325, 91
373, 379, 367
375, 221, 415
375, 235, 97
375, 329, 89
377, 17, 381
377, 141, 49
377, 307, 5
377, 325, 59
377, 423, 235
377, 439, 313
379, 399, 383
381, 323, 343
381, 491, 325
383, 255, 31
383, 257, 219
383, 481, 455
387, 97, 213
387, 151, 51
389, 25, 455
389, 59, 413
389, 223, 253
389, 313, 3
391, 203, 281
391, 449, 61
393, 285, 203
393, 319, 407
393, 495, 215
395, 11, 275
395, 339, 275
395, 429, 215
399, 159, 177
401, 7, 499
401, 197, 363
401, 341, 379
401, 423, 193
405, 51, 413
405, 337, 5
405, 339, 313
405, 455, 471
407, 11, 111
407, 393, 17
409, 53, 207
409, 91, 421
409, 121, 17
409, 401, 259
411, 33, 125
411, 91, 451
411, 115, 443
413, 177, 231
413, 393, 339
415, 39, 455
415, 53, 89
415, 97, 51
415, 141, 179
415, 169, 371
415, 261, 239
415, 301, 425
415, 459, 367
417, 385, 49
417, 471, 475
417, 499, 319
419, 249, 489
419, 417, 13
421, 23, 1
421, 95, 325
421, 195, 23
421, 265, 9
423, 201, 375
423, 389, 423
423, 477, 357
423, 491, 391
425, 323, 393
427, 405, 363
427, 431, 43
427, 469, 245
429, 257, 93
429, 275, 259
429, 369, 259
435, 89, 105
435, 149, 267
435, 163, 331
435, 221, 175
437, 23, 333
437, 45, 57
437, 295, 461
439, 71, 383
439, 369, 29
443, 381, 285
443, 451, 437
445, 253, 361
447, 273, 401
449, 25, 409
449, 37, 141
449, 87, 159
449, 115, 89
449, 225, 381
449, 455, 175
451, 219, 85
453, 97, 53
453, 161, 25
453, 217, 187
455, 27, 407
455, 269, 91
455, 441, 87
459, 213, 475
459, 399, 285
461, 259, 187
461, 471, 235
463, 291, 99
463, 331, 239
465, 39, 377
467, 105, 425
469, 23, 315
469, 177, 209
469, 419, 107
471, 235, 413
471, 363, 419
473, 9, 45
473, 183, 385
475, 5, 295
475, 79, 211
475, 271, 45
475, 291, 141
475, 363, 23
475, 369, 361
475, 491, 81
479, 163, 163
479, 247, 129
479, 481, 289
481, 77, 243
481, 233, 121
481, 359, 161
481, 469, 75
483, 57, 3
483, 187, 139
483, 389, 37
